Prediction Stage,Model,Accuracy,Macro F1,Weighted F1,CV Macro F1
Enrollment-only,Logistic Regression,0.5627118644067797,0.5359067959709214,0.5805131377230186,0.5637590821059881
Enrollment-only,Decision Tree,0.5107344632768361,0.5033402671930407,0.5381985743810551,0.5125263842736113
Enrollment-only,Random Forest,0.5864406779661017,0.5432105624897652,0.5947013787285462,0.5726064931798909
Semester 1,Logistic Regression,0.7107344632768362,0.6732266526325699,0.7237723592299794,0.6770303443880651
Semester 1,Decision Tree,0.6056497175141243,0.5904827181006385,0.6365383906814276,0.6253136140560602
Semester 1,Random Forest,0.7096045197740113,0.6521260652226283,0.7128953486615355,0.6855697661715316
